requested_file,status,searched_root,note
final_comparison_summary_table.csv,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
final_comparison_summary_table.md,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
c5_final_metrics_table.csv,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
c5_policy_comparison.csv,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
c5_scenario_robustness.csv,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
c5_cost_breakdown.csv,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
c5_action_distribution_by_time.csv,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
c5_health_summary.csv,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
c5_final_report.json,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
baseline_vs_ppo_summary.json,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
RESULTS_ALL.csv,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
REPORT_DATA.md,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
PROJECT_SPEC.md,not_found,C:\working\Capstone,No file with this exact name was found. Equivalent C5.1 outputs were used where available.
